Optimizer,Run_Number,Run_Time_Seconds,Best_Score,Best_CV_Accuracy,Mean_CV_Accuracy,Std_CV_Accuracy,Mean_F1_Score,Mean_Precision,Mean_Recall,Dataset
SRA,5,205.9768362,0.939168773,0.939168773,0.939168773,0.008125354,0.936634884,0.949460464,0.924742015,NSCLC
SRA,6,365.0237954,0.940045966,0.940045966,0.93829158,0.013125873,0.935485733,0.951101407,0.921105651,NSCLC
SRA,7,360.9230618,0.940919329,0.940919329,0.940919329,0.013131708,0.938464856,0.951407122,0.926543817,NSCLC
SRA,8,386.4385989,0.941804183,0.941804183,0.940045966,0.009834604,0.937264837,0.954664158,0.921105651,NSCLC
SRA,9,253.5331988,0.941796522,0.941796522,0.942673715,0.011230577,0.940295055,0.953231416,0.928378378,NSCLC
SRA,10,328.3025796,0.939164943,0.939164943,0.937410557,0.011453654,0.934723477,0.949986472,0.921105651,NSCLC
SRA,11,328.4609604,0.940923159,0.940923159,0.940923159,0.012205023,0.938112411,0.956612994,0.921105651,NSCLC
SRA,12,392.0012257,0.940042136,0.940042136,0.93828775,0.01223027,0.93543269,0.954775696,0.917469287,NSCLC
SRA,13,281.1996381,0.93828775,0.93828775,0.938283919,0.011924459,0.9353676,0.953216343,0.919271089,NSCLC
SRA,14,242.4145024,0.937414387,0.937414387,0.936544856,0.010113031,0.933952528,0.944248262,0.924758395,NSCLC
SRA,15,256.0138609,0.939164943,0.939164943,0.939164943,0.011647109,0.936600335,0.949353519,0.924725635,NSCLC
SRA,16,361.3692136,0.940915498,0.940915498,0.941792691,0.010018616,0.939218626,0.95485683,0.924725635,NSCLC
SRA,17,198.2109735,0.940053628,0.940053628,0.936548686,0.013930065,0.933271752,0.956258326,0.912080262,NSCLC
SRA,18,220.0071166,0.939180265,0.939180265,0.940053628,0.008963926,0.937430724,0.953203792,0.922972973,NSCLC
SRA,19,269.7909615,0.936544856,0.936544856,0.936544856,0.01367168,0.933251945,0.95452377,0.913882064,NSCLC
SRA,20,360.1004379,0.940919329,0.940919329,0.940042136,0.009854332,0.937506214,0.951478557,0.924725635,NSCLC
PSO,1,547.4332037,0.939172604,0.939172604,0.939172604,0.011611402,0.93619245,0.956285299,0.917485667,NSCLC
PSO,2,435.181654,0.942673715,0.942673715,0.941800352,0.011077908,0.939155089,0.956601835,0.922940213,NSCLC
PSO,3,824.1981447,0.941796522,0.941796522,0.941796522,0.010743707,0.939132851,0.956654092,0.922923833,NSCLC
PSO,4,420.8129427,0.943550908,0.943550908,0.94092699,0.00890215,0.938358837,0.953040312,0.924758395,NSCLC
PSO,5,717.0079646,0.941792691,0.941792691,0.941792691,0.013316134,0.939091024,0.956774327,0.922907453,NSCLC
PSO,6,492.8357754,0.933039914,0.933039914,0.933039914,0.011393623,0.92920133,0.957995572,0.903005733,NSCLC
PSO,7,618.6914816,0.938299242,0.938299242,0.940049797,0.005891224,0.937599411,0.95138925,0.924742015,NSCLC
PSO,8,579.2787516,0.940045966,0.940045966,0.941796522,0.010001894,0.93917092,0.956625798,0.922923833,NSCLC
PSO,9,508.6120036,0.937410557,0.937410557,0.937410557,0.00962875,0.93424846,0.956657475,0.913832924,NSCLC
PSO,10,510.0212514,0.941800352,0.941800352,0.940045966,0.011291507,0.937122937,0.958282074,0.917485667,NSCLC
PSO,11,671.3493333,0.940042136,0.940042136,0.93828775,0.0125409,0.935825433,0.94799657,0.924742015,NSCLC
PSO,12,471.0029385,0.940919329,0.940919329,0.941796522,0.008772335,0.939167969,0.956947089,0.922923833,NSCLC
PSO,13,461.2447414,0.944428101,0.944428101,0.941796522,0.00832221,0.939264546,0.95493255,0.924742015,NSCLC
PSO,14,415.7974627,0.941796522,0.941796522,0.940923159,0.013968917,0.937903755,0.96000482,0.917485667,NSCLC
PSO,15,454.5911314,0.942673715,0.942673715,0.942673715,0.011230577,0.939714168,0.963747301,0.917469287,NSCLC
PSO,16,663.2268457,0.941796522,0.941796522,0.942669884,0.010898288,0.940413901,0.951454818,0.9301638,NSCLC
PSO,17,704.7961757,0.940045966,0.940045966,0.940919329,0.008044644,0.938541941,0.951835617,0.926560197,NSCLC
PSO,18,535.1268373,0.941804183,0.941804183,0.943562399,0.011896766,0.941046177,0.95647679,0.926592957,NSCLC
PSO,19,379.2637033,0.93828775,0.93828775,0.93828775,0.008962556,0.93599429,0.944430905,0.928361998,NSCLC
PSO,20,543.8588271,0.941800352,0.941800352,0.939180265,0.011563988,0.936272202,0.954729585,0.919336609,NSCLC
GWO,1,878.3599982,0.940045966,0.940045966,0.940042136,0.009039829,0.937412917,0.953156332,0.922907453,NSCLC
GWO,2,987.286139,0.942673715,0.942673715,0.942673715,0.008941913,0.939796439,0.962057562,0.919287469,NSCLC
GWO,3,1181.767266,0.942669884,0.942669884,0.942669884,0.01222912,0.939864754,0.960241352,0.921089271,NSCLC
GWO,4,1008.543331,0.942669884,0.942669884,0.941796522,0.010001894,0.939248864,0.955030548,0.924725635,NSCLC
GWO,5,992.463294,0.941800352,0.941800352,0.941796522,0.00832221,0.939359089,0.953514328,0.926543817,NSCLC
GWO,6,918.1874101,0.942673715,0.942673715,0.943547077,0.011311016,0.941122816,0.956854335,0.926543817,NSCLC
GWO,7,984.6756439,0.941796522,0.941796522,0.941796522,0.008772335,0.939262279,0.955132865,0.924725635,NSCLC
GWO,8,1265.685953,0.940919329,0.940919329,0.940919329,0.011902229,0.938266695,0.954955227,0.922923833,NSCLC
GWO,9,747.1380901,0.940053628,0.940053628,0.937425879,0.009926325,0.934562947,0.950979387,0.919336609,NSCLC
GWO,10,1124.47484,0.941796522,0.941796522,0.939168773,0.005936554,0.93648809,0.953111177,0.921122031,NSCLC
GWO,11,837.1789758,0.944431931,0.944431931,0.943554738,0.011277214,0.941170777,0.954927943,0.928394758,NSCLC
GWO,12,1171.56502,0.940923159,0.940923159,0.941800352,0.011419926,0.938785732,0.961747123,0.917485667,NSCLC
GWO,13,1058.213665,0.941796522,0.941796522,0.942669884,0.010898288,0.940234091,0.955269071,0.926543817,NSCLC
GWO,14,867.3796098,0.941792691,0.941792691,0.941792691,0.009218639,0.939279498,0.954985177,0.924725635,NSCLC
GWO,15,927.8213747,0.940919329,0.940919329,0.940042136,0.01060647,0.93740521,0.953105736,0.922907453,NSCLC
GWO,16,852.3252661,0.942677545,0.942677545,0.942677545,0.01086382,0.939893431,0.959936648,0.921122031,NSCLC
GWO,17,1177.054578,0.942673715,0.942673715,0.942673715,0.010523141,0.939935676,0.958554935,0.922923833,NSCLC
GWO,18,1022.503615,0.941792691,0.941792691,0.941796522,0.010001894,0.939498085,0.95133824,0.928361998,NSCLC
GWO,19,1251.307723,0.941796522,0.941796522,0.941796522,0.012091565,0.939051648,0.956595339,0.922923833,NSCLC
GWO,20,766.3151011,0.940042136,0.940042136,0.937414387,0.010001961,0.934608595,0.951491078,0.919303849,NSCLC
